case id,prom1_unstranded,prom1_stranded_first,prom1_stranded_second,prom1_tpm_unstrande,prom1_fpkm_unstranded,prom1_fpkm_uq_unstranded,prom2_unstranded,prom2_stranded_first,prom2_stranded_second,prom2_tpm_unstrande,prom2_fpkm_unstranded,prom2_fpkm_uq_unstranded
1e14f098-17b2-4f54-8e4f-e38088008df7,94,47,47,1.5333,0.7963,0.9872,4007,1998,2010,80.3383,41.7194,51.7258
2038fd65-d8f1-4b16-af90-b1c8f9a379a7,4717,2412,2306,18.826,7.0938,8.7698,15599,7970,7638,76.5206,28.8338,35.646
21966708-4e66-4211-add0-f1515b09e362,1210,634,578,7.8177,2.6085,2.926,9686,4869,4820,76.9177,25.6654,28.7891
263e85e2-7b6f-453f-8fd0-e5ea1409fece,2592,1336,1256,21.1799,7.5597,8.5477,2235,1139,1098,22.4469,8.0119,9.0591
27920e1e-b9ab-4587-970a-0cba7025becb,34,19,15,0.1955,0.089,0.1387,272,128,144,1.9228,0.8751,1.3642
2cb50c2d-e749-4172-b101-d975507435c5,1850,952,898,14.2263,4.0684,4.0401,1822,900,923,17.2211,4.9248,4.8906
33d36b64-4688-40a7-9a4f-7cd3d4cc683d,135,63,72,0.8145,0.2348,0.241,14267,7085,7184,105.7966,30.5018,31.3035
67f526f1-def5-43b4-bc89-154baae190fc,47,25,22,0.2572,0.0928,0.1019,4431,2239,2193,29.8039,10.7546,11.8049
6d10d4ee-6331-4bba-93bc-a7b64cc0b22a,32,8,24,0.2021,0.076,0.0791,5582,2774,2808,43.3218,16.2851,16.965
6e84e89d-4f35-43b8-b47d-b1343b8c1ab9,176,86,90,0.7311,0.2796,0.3162,12622,6248,6377,64.4454,24.6419,27.876
7016714b-6af8-45dd-8341-1493927e5515,305,158,147,1.8685,0.7266,0.9205,10179,5057,5125,76.6456,29.804,37.7597
7a08efd0-f984-430e-a8eb-1881047214b6,247,129,118,3.2795,0.938,0.9131,126,57,70,2.0562,0.5881,0.5725
838693d5-1ae0-4d75-834b-e1b89b96b0ed,502,274,228,4.3709,1.7182,2.3077,624,309,315,6.6779,2.625,3.5258
79e6e31c-22a1-481c-903b-ab5499cbd450,31,14,17,0.2109,0.0781,0.0926,7468,3739,3732,62.4391,23.118,27.4096
7e34d3c1-1fab-4326-9a69-4260d2bac558,141,72,69,1.3918,0.5803,0.7624,9007,4580,4429,109.2748,45.5601,59.8636
85a85a11-7200-4e96-97af-6ba26d680d59,188,93,95,1.9809,0.8298,0.9376,200,98,102,2.5902,1.085,1.226
867f9563-16c9-45a8-b519-6df61ba1b6b7,19,8,11,0.0926,0.0289,0.0322,6594,3351,3247,39.5001,12.3078,13.7439
872d2922-7292-4681-adb7-d3b267eccbe7,8,3,5,0.0671,0.0229,0.0272,3184,1615,1569,32.8376,11.2094,13.2848
82093ed9-a3c8-4e34-931f-4ec7ae745711,5,1,4,0.0353,0.0131,0.0151,994,502,493,8.6226,3.2075,3.6842
8cad4217-5699-4735-9be3-fc0015a8d262,8,6,2,0.0616,0.0241,0.0314,113,54,59,1.0696,0.4183,0.5448
88180134-710f-46ea-9b06-5e5d860d6d9f,112,56,56,0.731,0.2675,0.3249,497,250,247,3.9868,1.4588,1.7723
914f84bf-578b-4f4d-93cb-378228ea58f6,2322,1168,1154,18.3061,6.3383,6.734,2358,1205,1155,22.849,7.9112,8.4052
8ac6ce06-ab50-4ab4-a469-9f8bf01be963,142,71,71,0.6429,0.2311,0.2999,1894,944,952,10.5396,3.788,4.9162
9446e349-71e6-455a-aa8f-53ec96597146,1396,739,659,7.8536,3.8056,4.6188,854,428,429,5.9052,2.8615,3.4729
94efd4f9-69b0-4efa-8a0c-61106e898fdd,91,48,43,0.3784,0.1413,0.1592,13166,6622,6550,67.2854,25.1263,28.3123
933dbfbd-4697-403e-bd73-c17cb300c94b,599,326,273,7.8187,3.0276,4.0904,785,398,387,12.5941,4.8768,6.5887
955c80be-53df-4565-9303-a7abf96a2f81,16,5,11,0.0782,0.0248,0.0275,5653,2777,2879,33.9399,10.7899,11.9246
94030805-8beb-441a-af73-11a80768edb5,20060,10052,10011,86.254,26.9828,28.47,1143,563,583,6.0407,1.8897,1.9939
9ec86cbd-8c74-4697-90da-529ab91ab835,64,32,32,0.2552,0.1162,0.1272,1489,745,745,7.2985,3.3237,3.6382
afd92922-b8dc-48bd-a9c0-bc8d95855eb7,31,14,17,0.1929,0.0607,0.0652,5120,2534,2586,39.1579,12.3163,13.2453
b7715ff6-57a6-4513-9447-aa8bc93f16d4,74,42,32,0.3106,0.1301,0.1705,290,136,154,1.4959,0.6269,0.8213
c3f9ee36-d34f-472b-ac7f-801a0d400aa4,357,172,185,1.9014,0.6369,0.7008,5229,2617,2614,34.2297,11.466,12.6164
c9e28934-8379-4511-817c-d787f2c4ca3a,80,40,40,0.8103,0.3078,0.3876,3460,1701,1760,43.0768,16.3608,20.605
d3dd5e69-9752-4b50-9b1f-814afbc2c3dd,1283,658,625,16.5954,5.639,5.6055,686,354,332,10.9062,3.7059,3.6838
d7925dfc-18ce-46ab-a47b-9d06eacc96d0,502,255,247,2.2744,0.7046,0.7651,10054,5046,5008,55.9869,17.3436,18.8345
dc5a6ce7-01e5-408d-812e-e3e0ddc1cde5,416,203,213,3.5169,1.1326,1.2241,19627,9848,9782,203.9447,65.6798,70.9837
df53c3c0-3605-4d2b-bdc7-96d9beab27ea,1593,811,782,11.8423,4.7083,6.2334,847,429,418,7.7391,3.077,4.0736
e20ea417-7296-4da8-9fdb-71cd1f45153a,882,458,424,4.6872,1.6248,1.7572,6248,3160,3092,40.8105,14.1469,15.2998
e294b940-2828-499c-be24-47ef6c2e9035,3945,2043,1902,21.5706,6.8702,7.0321,1585,783,804,10.6521,3.3927,3.4726
e35b2813-427e-4e83-95f6-4f0281f42a59,7500,3800,3703,35.9948,11.2998,11.211,3746,1906,1842,22.0971,6.9369,6.8824
e641aed9-1dd8-4c30-b231-f12b20a76df0,2376,1228,1149,8.2218,3.124,4.077,2077,1068,1012,8.8338,3.3565,4.3805
e9b5336e-d724-4e7d-8c81-1147abd0a80d,185,97,88,1.3141,0.4586,0.5099,7568,3797,3772,66.0758,23.0586,25.6366
e5a329ec-e50e-4786-901d-b58474f8ea65,72,43,29,0.5436,0.2468,0.3051,2666,1388,1279,24.7384,11.2343,13.886
ed21615c-0de3-421c-9e8d-8996026c4431,3800,1950,1850,27.465,9.132,9.9645,26983,13509,13483,239.7044,79.7012,86.9665
f8a5547f-f1bc-4c01-8b68-25b5ee0caeab,1668,850,818,10.5872,4.4621,5.6568,3138,1674,1465,24.4811,10.3179,13.0803
f8e9d538-7291-4fe7-b3f2-d01676a027f9,3836,1935,1901,28.6792,15.0453,21.0539,1861,946,916,17.1011,8.9714,12.5543
ef57bc45-858f-4d4e-8407-b7eadfa43be5,1808,933,875,11.2158,4.138,4.488,10754,5338,5420,81.9956,30.2518,32.8106
ef5e85cf-2d82-4d52-a02c-fed5c76e4cec,227,108,119,1.28,0.4403,0.4494,6622,3358,3266,45.8957,15.7879,16.112
fdf83fdf-dfbb-4306-9a1b-b4487d18b402,41,20,21,0.2117,0.0813,0.0849,6847,3335,3512,43.448,16.698,17.4204
7248cd60-be22-44bc-bc58-f644db0940a2,266,123,143,1.3791,0.5023,0.5936,5413,2810,2603,34.4929,12.5631,14.8469
7248cd60-be22-44bc-bc58-f644db0940a2,266,123,143,1.3791,0.5023,0.5936,3098,1531,1568,18.8181,7.3573,9.4205
7248cd60-be22-44bc-bc58-f644db0940a2,329,157,172,1.6259,0.6357,0.814,5413,2810,2603,34.4929,12.5631,14.8469
7248cd60-be22-44bc-bc58-f644db0940a2,329,157,172,1.6259,0.6357,0.814,3098,1531,1568,18.8181,7.3573,9.4205
40635bf3-d8ba-4833-b623-547e55e5d07e,517,253,264,3.7349,1.2481,1.4632,1551,771,780,13.7719,4.6021,5.3954
3ac45a71-c463-4f0f-b030-58c475a34418,9,5,4,0.1007,0.0326,0.0313,2776,1406,1372,38.1857,12.3645,11.8537
3ac45a71-c463-4f0f-b030-58c475a34418,9,5,4,0.1007,0.0326,0.0313,7943,3957,3986,73.1614,23.9728,26.8387
3ac45a71-c463-4f0f-b030-58c475a34418,1054,551,503,7.8986,2.5881,2.8975,2776,1406,1372,38.1857,12.3645,11.8537
3ac45a71-c463-4f0f-b030-58c475a34418,1054,551,503,7.8986,2.5881,2.8975,7943,3957,3986,73.1614,23.9728,26.8387
7fd6ab8a-201e-431d-a886-6ab553b6ca36,409,224,185,2.1092,0.8882,1.0078,5025,2542,2484,31.8515,13.4124,15.2188
eb7c3b35-7a5e-4621-b31f-9775c51f9a23,5777,2839,2939,36.6843,10.2591,9.6841,8677,4401,4283,67.7233,18.9395,17.8779
260723bf-9620-450d-bf31-f3a45543f9db,10411,5147,5265,66.9821,15.7569,17.0328,712,354,359,5.6304,1.3245,1.4317
b8023162-5e82-40e6-ad8c-8acf81821f01,393,182,211,2.855,0.8667,0.9068,2279,1130,1152,20.3492,6.1772,6.4632
b0839f46-8c82-4619-be3d-c857a1759463,2928,1405,1523,21.1441,6.1701,6.5371,17749,8897,8853,157.5369,45.9708,48.7055
15170c7f-5880-4fb6-82ce-68d3df0dfb68,728,362,367,4.6362,1.6191,1.8039,37672,19023,18661,294.8784,102.9826,114.7358
0f4a4ad1-e394-45c4-9aa9-aadf2bff0628,12,8,4,0.0728,0.0295,0.041,1122,568,554,8.3696,3.385,4.7143
94769f2c-b6fd-48ec-af34-b41165340b7c,376,194,182,2.2689,0.9623,1.1526,3237,1667,1572,24.0085,10.1823,12.1959
c9226204-cb61-40b8-8a94-a7e71c14ea3a,2563,1314,1249,16.5341,5.6977,5.4026,6175,3059,3116,48.9621,16.8725,15.9985
8e107f4b-1912-4d3e-814a-b863e2d65ed7,121,62,59,0.9126,0.3717,0.4415,3658,1787,1873,33.9083,13.8108,16.4044
7ebc776e-bde1-4563-adb1-8bd441872733,35,12,23,0.2287,0.0669,0.0655,4552,2226,2326,36.5576,10.6967,10.4683
f2ec64f5-a414-4c34-99c7-d59bc4e831e0,171,86,86,0.6378,0.2843,0.298,1353,646,709,6.2022,2.7652,2.8983
cd6e5d3d-1c86-40dd-9cb3-b2e2075dec56,690,333,357,4.4035,1.5194,1.6027,1339,689,651,10.5032,3.624,3.8227
32d4d200-1fdf-44ed-b81f-1954a9c93926,47,17,30,0.3578,0.1159,0.1249,5045,2525,2521,47.2002,15.2905,16.484
ad2939e6-b8b8-475a-90e2-6a369c3d3167,10566,5347,5221,59.6495,21.1603,22.89,5667,2872,2796,39.3223,13.9494,15.0897
